race_id,horse_number,finish_position,target,pred,pred_class
202401020804,8,10.0,0,0.1049157598973568,0
202401020804,9,3.0,1,0.2042820629648114,0
202401020804,10,4.0,0,0.47892571846956633,1
202401020804,11,13.0,0,0.11140569379401365,0
202401020804,12,1.0,1,0.16599816352681945,0
202401020804,13,5.0,0,0.7103733740104637,1
202401020804,14,7.0,0,0.3060526264760494,0
202401020804,15,16.0,0,0.02179608208488875,0
202401020804,16,8.0,0,0.3423248799091536,1
202401020805,1,8.0,0,0.5249708679801304,1
202401020805,2,13.0,0,0.15298009651675548,0
202401020805,3,14.0,0,0.11816202133150334,0
202401020805,4,4.0,0,0.5849651881230362,1
202401020805,5,5.0,0,0.21824397885140942,0
202401020805,6,10.0,0,0.2716689440688101,0
202401020805,7,1.0,1,0.10991541493756793,0
202401020805,8,6.0,0,0.1690511990730309,0
202401020805,9,2.0,1,0.1268578152306397,0
202401020805,10,7.0,0,0.4992976005612166,1
202401020805,11,11.0,0,0.06913851429499163,0
202401020805,12,3.0,1,0.32251320098774133,0
202401020805,13,12.0,0,0.1485438073334504,0
202401020805,14,9.0,0,0.08732101260245724,0
202401020806,1,1.0,1,0.36569410136669084,1
202401020806,2,3.0,1,0.09251270691611155,0
202401020806,3,10.0,0,0.2331081203952383,0
202401020806,4,6.0,0,0.07335553155144704,0
202401020806,5,14.0,0,0.4339056591021638,1
202401020806,6,7.0,0,0.14551290246334667,0
202401020806,7,5.0,0,0.3233108481751262,0
202401020806,8,16.0,0,0.05154916613105557,0
202401020806,9,11.0,0,0.04107561504922189,0
202401020806,10,4.0,0,0.04838329178288054,0
202401020806,11,9.0,0,0.08683954988902476,0
202401020806,12,15.0,0,0.03023550037841599,0
202401020806,13,13.0,0,0.26633496426194114,0
202401020806,14,2.0,1,0.27094226141944855,0
202401020806,15,8.0,0,0.2040095334259217,0
202401020806,16,11.0,0,0.5066030158621284,1
202401020807,1,4.0,0,0.35474285864984983,0
202401020807,2,8.0,0,0.0190565285011951,0
202401020807,3,6.0,0,0.31017607883547216,0
202401020807,4,10.0,0,0.018302409382549484,0
202401020807,5,9.0,0,0.11233407852787186,0
202401020807,6,14.0,0,0.4165896120457184,1
202401020807,7,5.0,0,0.09300763651874064,0
202401020807,8,7.0,0,0.04234260677592228,0
202401020807,9,2.0,1,0.1399371536752206,0
202401020807,10,11.0,0,0.09751959737117218,0
202401020807,11,1.0,1,0.7170062444222801,1
202401020807,12,3.0,1,0.4830445787565073,1
202401020807,13,12.0,0,0.05078703650166865,0
202401020807,14,13.0,0,0.11532881392280891,0
202401020808,1,1.0,1,0.6330176731781818,1
202401020808,2,10.0,0,0.012341689475990575,0
202401020808,3,2.0,1,0.4005790304184924,1
202401020808,4,11.0,0,0.05668999926787351,0
202401020808,5,6.0,0,0.24011077109077744,0
202401020808,6,14.0,0,0.011824612109333523,0
202401020808,7,8.0,0,0.13718224416351021,0
202401020808,8,7.0,0,0.049254937517098425,0
202401020808,9,3.0,1,0.37097006092748924,0
202401020808,10,5.0,0,0.12864323065579247,0
202401020808,11,12.0,0,0.1908564115753136,0
202401020808,12,13.0,0,0.09334521033322529,0
202401020808,13,9.0,0,0.04044651714386872,0
202401020808,14,4.0,0,0.6282257526838334,1
202401020809,1,4.0,0,0.16958158213758195,0
202401020809,2,10.0,0,0.05041181265968423,0
202401020809,3,7.0,0,0.0433190344683423,0
202401020809,4,1.0,1,0.7646501287538793,1
202401020809,5,2.0,1,0.47966878653330713,1
202401020809,6,6.0,0,0.6911642894439102,1
202401020809,7,8.0,0,0.23429471909030725,0
202401020809,8,9.0,0,0.12468437750303484,0
202401020809,9,3.0,1,0.3897190361981605,0
202401020809,10,5.0,0,0.1554509629746165,0
202401020810,1,7.0,0,0.02992908283104313,0
202401020810,2,13.0,0,0.042237266373947216,0
202401020810,3,1.0,1,0.08192439784775811,0
202401020810,4,4.0,0,0.1324384448049591,0
202401020810,5,12.0,0,0.037841538379280074,0
202401020810,6,15.0,0,0.022405615598409066,0
202401020810,7,9.0,0,0.10964752202514076,0
202401020810,8,5.0,0,0.547711802075973,1
202401020810,9,6.0,0,0.38123739543975493,1
202401020810,10,11.0,0,0.25976439725013856,0
202401020810,11,3.0,1,0.2991045915576132,0
202401020810,12,8.0,0,0.20293724292838863,0
202401020810,13,14.0,0,0.22454550862890862,0
202401020810,14,2.0,1,0.6361885597535718,1
202401020810,15,10.0,0,0.05932659385623023,0
202401020811,1,11.0,0,0.26132674707229864,0
202401020811,2,8.0,0,0.23691545117005972,0
202401020811,3,13.0,0,0.038172318296204676,0
202401020811,4,1.0,1,0.47378581530564456,1
202401020811,5,2.0,1,0.4943706873463927,1
202401020811,6,4.0,0,0.20211929140615947,0
202401020811,7,7.0,0,0.11114050646899322,0
202401020811,8,9.0,0,0.3715752007311331,1
202401020811,9,12.0,0,0.026240777543601025,0
202401020811,10,10.0,0,0.12132622373056037,0
